p,h2,alpha,K,num,logistic,Method,jump_sign,use_mle,n_keep,r2_1,r2_2,r2_3,r2_est_1,r2_est_2,r2_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3
0.1,0.01,-1,0.02,1,FALSE,SBayesS,,,,1.281e-05,-1.141e-06,7.571e-05,1.744e-05,-1.566e-06,3.949e-05,0.001054,0.0008786,0.001494,0.05531,0.04423,0.06861,-0.2148,-0.4243,-0.005082
0.1,0.01,-1,0.02,1,FALSE,LDSc,,,,,,,,,,0.0002595,-0.002166,0.002685,,,,,,
0.1,0.01,-1,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,3,1.165e-05,-1.901e-06,7.618e-05,4.533e-06,-2.966e-05,4.536e-05,0.002372,0.001,0.004715,0.005985,0.002021,0.01575,,,
0.1,0.01,-1,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,3,1.15e-05,-2.344e-06,7.234e-05,0.0004376,3.445e-05,0.001419,0.01974,0.007735,0.05308,0.01376,0.004351,0.02704,0.03408,-0.5796,0.5
0.1,0.01,-1,0.02,1,TRUE,SBayesS,,,,1.126e-05,-2.856e-06,6.57e-05,1.692e-05,-5.149e-05,8.835e-05,0.003768,0.002974,0.004634,0.06521,0.0521,0.08175,-0.1237,-0.2547,-0.002913
0.1,0.01,-1,0.02,1,TRUE,LDSc,,,,,,,,,,0.003635,-0.02727,0.03454,,,,,,
0.1,0.01,-1,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,15,0.0001519,5.174e-05,0.0002976,0.000257,0.0001458,0.0003891,0.004632,0.003269,0.00589,0.009683,0.002603,0.01992,,,
0.1,0.01,-1,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,16,0.0001817,6.917e-05,0.0003272,0.0002451,8.052e-05,0.0005063,0.004261,0.001798,0.007322,0.01151,0.003965,0.02306,-0.2411,-1.032,0.4835
0.1,0.01,-1,0.2,1,FALSE,SBayesS,,,,0.0001389,4.412e-05,0.0002815,0.0002178,0.0001224,0.0003905,0.003727,0.002634,0.006217,0.04902,0.03853,0.06282,-0.03325,-0.3779,0.1922
0.1,0.01,-1,0.2,1,FALSE,LDSc,,,,,,,,,,0.005139,0.002417,0.00786,,,,,,
0.1,0.01,-1,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,19,0.000153,5.216e-05,0.0003034,0.0003908,0.0002266,0.0005962,0.007044,0.005139,0.009226,0.009851,0.002773,0.01978,,,
0.1,0.01,-1,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,9,0.0001777,7.284e-05,0.0003356,0.0004135,0.0001497,0.0008476,0.007019,0.003023,0.01252,0.0129,0.00368,0.02406,-0.4829,-1.239,0.4781
0.1,0.01,-1,0.2,1,TRUE,SBayesS,,,,0.0001556,5.55e-05,0.0003021,0.0004001,0.0002429,0.000661,0.006248,0.004995,0.009815,0.05927,0.04794,0.07719,-0.05378,-0.1461,0.04455
0.1,0.01,-1,0.2,1,TRUE,LDSc,,,,,,,,,,0.008025,0.003779,0.01227,,,,,,
0.1,0.03,0,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,13,0.000164,5.187e-05,0.0003089,0.0002463,0.0001359,0.0003653,0.004624,0.003174,0.005912,0.01037,0.003358,0.01955,,,
0.1,0.03,0,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,16,0.0001493,5.191e-05,0.0002938,0.0003066,0.000108,0.0006266,0.004744,0.002127,0.008029,0.01192,0.003986,0.026,0.1804,-0.7727,0.4988
